service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator,ObjectId
2024/05/16 04:00:00+00,Green-D,D,Green Line D,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,12685.79218233,16194.379602236,,74307
2024/05/16 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,11562.490963179,14008.293076815,,74308
2024/05/16 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,68587.672755674,73031.602529885,,74309
2024/05/16 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,OFF_PEAK,Passenger Wait Time,88871.810048523,92566.893171332,,74363
2024/05/16 04:00:00+00,Blue,,Blue Line,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,38136.617107523,40676.547050298,,74367
2024/05/16 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,17894.239330665,21761.362700453,,74368
2024/05/15 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,OFF_PEAK,Passenger Wait Time,115300.815047605,122188.070502238,,74414
2024/05/15 04:00:00+00,Green-E,E,Green Line E,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,9929.313725375,12594.760043231,,74417
2024/05/15 04:00:00+00,Orange,,Orange Line,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,67292.873333962,68405.12044144,,74418
2024/05/15 04:00:00+00,Red,,Red Line,Rapid Transit,Red Line,Rail,PEAK,Passenger Wait Time,96731.488733098,102425.900850722,,74419
2024/05/15 04:00:00+00,Green-B,B,Green Line B,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,8297.876875942,10070.133432391,,74426
2024/05/15 04:00:00+00,Green-C,C,Green Line C,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,9988.722700244,12249.947998095,,74427
